Pid,txtSNo,value,rdoOthername,sltHType1Vaule
805,11010120150601007X,1,╡Бйт╤Ывс,0
805,110101196009010681,2,╡Бйт╦╦гв,1
805,110101198009010760,5,╡БйтеДе╪,0
806,110101201509010067,1,╡Бйт╤Ывс,0
806,110101196009010649,2,╡Бйт╦╦гв,1
806,110101198009010728,5,╡БйтеДе╪,0
807,110101201509010083,1,╡Бйт╤Ывс,0
807,110101196009010569,2,╡Бйт╦╦гв,1
807,110101198009010664,5,╡БйтеДе╪,0
808,110101201509010147,1,╡Бйт╤Ывс,0
808,11010119600901050X,2,╡Бйт╦╦гв,1
808,110101198009010568,5,╡БйтеДе╪,0
809,11010120150901018X,1,╡Бйт╤Ывс,0
809,110101196009010403,2,╡Бйт╦╦гв,1
809,110101198009010525,5,╡БйтеДе╪,0
810,110101201509010227,1,╡Бйт╤Ывс,0
810,11010119600901034X,2,╡Бйт╦╦гв,1
810,110101198009010429,5,╡БйтеДе╪,0
906,110101201509010286,1,╡Бйт╤Ывс,0
906,110101196009010307,2,╡Бйт╦╦гв,1
906,110101198009010349,5,╡БйтеДе╪,0
907,11010120150901034X,1,╡Бйт╤Ывс,0
907,11010119600901018X,2,╡Бйт╦╦гв,1
907,110101198009010285,5,╡БйтеДе╪,0
908,110101201509010382,1,╡Бйт╤Ывс,0
908,110101196009010083,2,╡Бйт╦╦гв,1
908,110101198009010162,5,╡БйтеДе╪,0
943,110101201509010489,1,╡Бйт╤Ывс,0
943,110101196009010147,2,╡Бйт╦╦гв,1
943,110101198009010066,5,╡БйтеДе╪,0
